create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-06-24 12:30:00,HYPEUSDT,5606072.2800000000000000,348826110.7500745700000000,1.17952735,1.57242400,1.23695530,0.51656300
2026-06-24 12:35:00,HYPEUSDT,5605340.9900000000000000,349023296.4922495500000000,1.18054830,1.57063900,1.23807743,1.58392200
2026-06-24 12:40:00,HYPEUSDT,5611103.7100000000000000,348386816.2754005000000000,1.17847837,1.57226000,1.23081222,0.78277600
2026-06-24 12:45:00,HYPEUSDT,5613885.7900000000000000,347905071.3351952400000000,1.17653181,1.57244100,1.22817793,0.62943700
2026-06-24 12:50:00,HYPEUSDT,5614927.8100000000000000,347867745.5794082000000000,1.17772574,1.57294900,1.22657122,1.54954900
2026-06-24 12:55:00,HYPEUSDT,5628785.3500000000000000,348924262.6928301500000000,1.17417846,1.57053000,1.22440835,3.67243200
2026-06-24 13:00:00,HYPEUSDT,5634660.4600000000000000,347337374.7357800000000000,1.18133229,1.57655400,1.23319054,0.58571000
2026-06-24 13:05:00,HYPEUSDT,5628775.6500000000000000,344938764.4970754400000000,1.18024627,1.57528600,1.23136006,0.48563700
2026-06-24 13:10:00,HYPEUSDT,5644368.3400000000000000,344690285.7871200000000000,1.17391872,1.57250900,1.22779598,0.61456400
2026-06-24 13:15:00,HYPEUSDT,5646025.6900000000000000,346043839.0851266000000000,1.17834228,1.57772000,1.23047387,2.24513100
2026-06-24 13:20:00,HYPEUSDT,5637871.7000000000000000,343497484.2541171300000000,1.17975315,1.57427900,1.22763541,0.79890200
2026-06-24 13:25:00,HYPEUSDT,5630760.2700000000000000,343774806.7643100000000000,1.18694909,1.58129100,1.23014161,0.96864200
2026-06-24 13:30:00,HYPEUSDT,5637200.9200000000000000,345127920.0817119500000000,1.19733016,1.58989300,1.24563885,1.06825500
2026-06-24 13:35:00,HYPEUSDT,5643196.5600000000000000,343066848.4720800000000000,1.20513160,1.59734000,1.25240611,0.63276700
2026-06-24 13:40:00,HYPEUSDT,5685883.3100000000000000,344274359.0266993000000000,1.19497687,1.59789900,1.23604948,0.64670700
2026-06-24 13:45:00,HYPEUSDT,5719170.5700000000000000,346769815.5268056000000000,1.19992051,1.59771000,1.24576191,0.87025800
2026-06-24 13:50:00,HYPEUSDT,5722679.8100000000000000,348895531.5419369300000000,1.20111509,1.60411900,1.24775073,1.30658200
2026-06-24 13:55:00,HYPEUSDT,5728994.7400000000000000,348789102.0600946000000000,1.20448812,1.60106600,1.25265152,0.88022900
2026-06-24 14:00:00,HYPEUSDT,5704791.3800000000000000,345545285.4390178300000000,1.20082130,1.59162000,1.25392769,1.22021800
2026-06-24 14:05:00,HYPEUSDT,5707487.9700000000000000,347266398.0466800000000000,1.21030271,1.59006600,1.26381648,1.13632000
2026-06-24 14:10:00,HYPEUSDT,5705989.1300000000000000,346633035.2871174000000000,1.20928382,1.58642800,1.26240061,1.25281700
2026-06-24 14:15:00,HYPEUSDT,5701238.5100000000000000,344467049.1371656000000000,1.21432375,1.58658900,1.26779951,0.83201600
2026-06-24 14:20:00,HYPEUSDT,5703961.8900000000000000,346310111.2930827000000000,1.21440021,1.59061700,1.27002288,0.91734400
2026-06-24 14:25:00,HYPEUSDT,5715358.2600000000000000,347453352.8495868400000000,1.21381799,1.59408500,1.26471987,0.84392000
2026-06-24 14:30:00,HYPEUSDT,5715482.8500000000000000,347638154.1041895000000000,1.22241611,1.59464300,1.27431517,1.57035600
2026-06-24 14:35:00,HYPEUSDT,5719375.0700000000000000,347554984.2537600000000000,1.21880021,1.59676200,1.27147210,1.45443400
2026-06-24 14:40:00,HYPEUSDT,5719276.2400000000000000,348441185.6457600000000000,1.21700762,1.59330800,1.27451167,1.28707500
2026-06-24 14:45:00,HYPEUSDT,5729397.9700000000000000,349309935.4349600000000000,1.22342559,1.60009400,1.27993142,0.82475700
2026-06-24 14:50:00,HYPEUSDT,5729778.0100000000000000,348555450.6734335400000000,1.22760744,1.59898400,1.28180952,0.58959400
2026-06-24 14:55:00,HYPEUSDT,5733453.9300000000000000,348954455.7457979000000000,1.22480620,1.59743200,1.27826335,1.35191500
2026-06-24 15:00:00,HYPEUSDT,5732952.6400000000000000,348596362.1325049400000000,1.22653116,1.59724900,1.27701357,0.67040200
2026-06-24 15:05:00,HYPEUSDT,5733416.5700000000000000,348024596.9811728000000000,1.22269693,1.59003000,1.28030807,1.25132100
2026-06-24 15:10:00,HYPEUSDT,5733787.2300000000000000,348038824.6539104000000000,1.22130383,1.59143400,1.27382080,1.46422300
2026-06-24 15:15:00,HYPEUSDT,5735552.5200000000000000,348090682.4388000000000000,1.22047454,1.59100200,1.27445034,1.29320600
2026-06-24 15:20:00,HYPEUSDT,5732725.3000000000000000,347079329.2992514400000000,1.22124484,1.59064300,1.27438909,0.78226700
2026-06-24 15:25:00,HYPEUSDT,5735293.5100000000000000,347808558.7383605000000000,1.22303693,1.58990300,1.27587840,1.02413900
