address,coin,szi,entryPx,positionValue,unrealizedPnl,leverage_type,leverage,liquidationPx
0x94b227df8fe384dfa9273334c72e5efbf934599e,ETH,-1.7389,1586.5,4678.023558,-1919.258708,cross,20,457355.0364474274
0x94b227df8fe384dfa9273334c72e5efbf934599e,SOL,249.38,65.2722,29169.9786,12892.380093,cross,20,
0x94b227df8fe384dfa9273334c72e5efbf934599e,DOGE,-7918749.0,0.098714,762108.322509,19587.996585,cross,10,0.1932295019
0x94b227df8fe384dfa9273334c72e5efbf934599e,XRP,-249679.0,1.507067,383956.3662,-7673.279189,cross,20,4.6888859253
0x94b227df8fe384dfa9273334c72e5efbf934599e,HYPE,9467.8,92.2514,883052.2382,9633.707723,cross,10,3.6100915994
0x3fa8ed10f4aa3ac5b2c43d8bd59d8830f88d974c,HYPE,-500.0,92.7081,46614.0,-259.92313,cross,9,247.2293755543
0x4cc2a26cb0427032427a002e210f368ea4cc17c6,VIRTUAL,-13666.0,0.66256,10223.12462,-1168.454577,cross,3,2.9998550386
0x4cc2a26cb0427032427a002e210f368ea4cc17c6,ZEC,-22.87,1485.2182,35507.962,-1541.021,cross,3,2962.2314061257
0x121acb29e168cc9e97dbd7b280ee8baf2cb34c6e,BTC,4.0,85151.1,337820.0,-2784.46778,cross,20,62141.8728144304
0x121acb29e168cc9e97dbd7b280ee8baf2cb34c6e,ETH,50.6491,2480.07,136256.20882,10642.450557,cross,20,914.5403405842
0x831e4ecf60dd9727d30c3610fa15ad52fa1ff54f,ETH,17.5226,1883.32,47125.28044,14124.496,cross,20,429.5347158084
0x831e4ecf60dd9727d30c3610fa15ad52fa1ff54f,SOL,268.08,76.4726,31370.7216,10869.9424,cross,20,
0x831e4ecf60dd9727d30c3610fa15ad52fa1ff54f,HYPE,187.61,56.8969,17493.037815,6818.600108,cross,10,
0x831e4ecf60dd9727d30c3610fa15ad52fa1ff54f,SKY,45723.0,0.070821,3377.512287,139.362256,cross,3,
0xf39669286a60cf83bedce4240f705e8e956b7755,BTC,3.71672,84088.3,313839.8368,1307.0907,cross,40,60272.7459897266
0xf39669286a60cf83bedce4240f705e8e956b7755,ETH,188.9807,2666.0,508244.69458,4422.14838,cross,20,2210.4604225593
0xf2497f19552950de3b54b7ab23210f30f7409e70,BTC,0.1,65279.0,8444.1,1916.2,cross,20,
0xf2497f19552950de3b54b7ab23210f30f7409e70,SOL,840.0,77.3255,98330.4,33376.94379,cross,20,61.6438198559
0x80474420d1d4d42e7bc25cfe0918eff0ddcc8852,NEAR,-5415.0,4.68186,25258.2675,94.019287,cross,10,11.9990249044
0x80474420d1d4d42e7bc25cfe0918eff0ddcc8852,ONDO,39580.0,0.518655,20854.3062,325.916712,cross,10,
0x80474420d1d4d42e7bc25cfe0918eff0ddcc8852,HYPE,-419.18,93.4347,39072.60616,93.365002,cross,10,187.9599659267
0x8469d67d13dbe12211a60008faa9547e27a1804d,BTC,-1.25,83527.0,105526.75,-1117.9,cross,10,286199.1013704691
