address,display_name,account_value,day_pnl,day_roi,day_vlm,week_pnl,week_roi,week_vlm,month_pnl,month_roi,month_vlm,allTime_pnl,allTime_roi,allTime_vlm,vlm_to_acct
0xe091330c53b971ed4e886f902f18e8544a8d6705,,1312937.035782,-112462.021071,-0.0788986218,0.0,-835808.384127,-0.2933952533,1577759.09,-152096.428877,-0.0702513062,27300344.86,717601.725782,0.3360600286,445405999.58,339.2
0xacf964bd4a28e4d2498d97e2367a356bcdb5bb9f,,29302.756069,156.958961,0.0053668895,180946.41,1746.746254,0.0631597351,743928.06,2657.404576,0.0993594934,2074723.94,5697.976069,0.2393626855,12828952.46,437.8
0x6f0306dc529cfeb8e08502e5eb7a588def9ac88d,,305787.590373,-4302.656716,-0.0237680557,1539442.48,88890.373006,0.4098271711,3756729.58,95684.929397,0.4387150939,4256728.96,13414.393027,0.0788023118,11592801.2,37.9
0xb37934f23985273f6393bc49a3647db4393ab653,,29457.746807,2.558127,8.65542e-05,0.0,337.265142,0.0115420802,763045.36,2394.62782,0.0744525996,3036373.03,37035.556807,3.0803436365,18638435.89,632.7
0xd04f97191224cf0396b09acb80adb06b5823ecad,,951912.834763,809.460521,0.0008510752,0.0,-11092.592424,-0.0115187226,4386385.86,-55731.142524,-0.0461486527,16059567.52,2671181.134763,3.3958769257,290534077.54,305.2
0x04febde8d852931b73fd81c09904bb29d3a0e964,,1042569.396633,-10352.787419,-0.0098324336,291319.73,86451.805774,0.0904196373,1490313.68,401006.106229,0.6250452796,5080999.52,1278535.066633,6.4515720891,55463914.78,53.2
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,,6695997.639039,108884.163197,0.0165298751,3983948.35,1098834.489109,0.1963198963,19101995.86,1354493.988816,0.2535791563,40985465.69,8135563.799039,35.3571563081,896296038.49,133.9
0x9a0519e68974e99f0accbba8d19e1eca53e4d14a,,25911.491645,2033.982157,0.0851840163,167582.87,-3149.065424,-0.1083621837,617928.21,-4213.220129,-0.1398592677,1006520.47,-54569.968355,-0.6780439663,57007805.38,2200.1
0x7759d4dca0b4467314ba08d22dfdb6dac9c22a8b,,34245.802513,14.47,0.1447,7335.77,565.97,5.6597,845341.6,6925.237219,0.2106499814,4297748.58,155177.672513,282.6551411894,86687566.65,2531.3
0x154ed1518027a26536905a2c4551956d6203bbf3,,175542.005253,-667.219624,-0.0296476085,124259.65,42753.560894,0.2740857019,182347.79,41621.110328,0.2607535844,1098574.55,58323.035253,0.4153570361,36078758.16,205.5
0x1d3174ca664a78042c1e8ebced909f6ffe087018,,190223.567,1222.951473,0.0064706241,140063.24,387.447252,0.0020409572,749225.43,3054.512115,0.0163195422,1785495.03,-28957.944897,-0.1321185995,38424773.25,202.0
0x87f36777f22548787af3a2ad3605e3d48288b928,,152672.309859,4679.685111,0.0316210698,0.0,34711.691748,0.135476323,1523645.29,18995.749507,0.0657393572,87256600.14,54222.189859,0.2137011335,274228393.25,1796.2
0xe9ec1d90652e13521623fb048f1c77883c597859,,939068.283817,3623.613795,0.0038736805,8758920.74,-31683.311345,-0.0326379184,26833364.23,-68698.762091,-0.0681692881,59069057.79,-67998.866183,-0.0675216803,59276532.89,63.1
0x509adaa1f4c97d1c437bd6ecb9580eceb79c2314,,692397.440019,16.998564,2.45367e-05,0.0,-17577.929055,-0.0134025362,28568198.59,51662.424748,0.0415862053,94688721.22,142849.910019,0.0803924141,184793218.25,266.9
0x20bb874e9f8d5ebbccee14d4a4ee4a71debbde4b,,2132099.542567,10953.205875,0.0225342475,0.0,8305.963369,0.0039103642,77.42,106465.673987,0.0340104405,13243906.05,350007.082567,0.0882964056,16976361.520000003,8.0
0xfe47c8f29f65830d7990e85852cc2c5cee1c0085,,466636.870391,2371.377939,0.0051078057,0.0,94715.744716,0.234128222,2990095.01,113019.864627,0.2625454533,7992004.67,432482.080391,1.9213379232,88883977.29,190.5
0x223002b133c09f880c48b356b84e9414c8c63914,,31366.024723,-98.76,-0.9876,143151.18,3664.72994,0.132294536,480686.64,8095.245765,0.3478717141,5717776.32,21433.56,19.1739142103,23660884.0,754.3
0xb82359e0fdf3095dd8471df3f3c26aba5b369763,,5383097.944783,1362.270422,0.0002531285,0.0,165818.4961,0.029003042,5112283.02,175545.237308,0.0307566564,5135537.09,14333463.794783,24.4392532735,41590001.86,7.7
0x987163b6b482c30c2f5f3aa2760109668eb0091d,,259747.17653,47.611508,0.000183333,0.0,11113.616871,0.0318776451,0.0,71625.503492,0.0707017447,15681826.06,5518488.26653,947.144333986,724617040.64,2789.7
0xc0de1b88583d7d98abcf8f1efcd4ee2d8d031691,,230350.145722,-0.03,-0.0003,0.0,457.285036,0.0019891224,99362.56,-2444.12289,-0.0104990681,7468247.88,180662.465722,3.6359609811,52579043.41,228.3
0x91c6ed92d018f16ebcf6658aaacb360e110c3f0d,,125205.472779,2067.22204,0.1595593789,0.0,10161.385292,0.0883260106,160016.97,44163.746051,0.5073859138,2003151.91,39055.998578,0.4229459741,14295785.03,114.2
0x98399de6ca852dd8b7dd21225a32c28c95574b25,,183087.447603,2268.538489,0.012545914,1799676.87,132334.60258,0.6725762643,27553851.91,150890.266626,0.8467367433,33903944.06,268791.437603,4.4575006986,83017633.03,453.4
0xa0771999ab6b20f50248504f89c0cf2627a3ccb3,,39777.004537,159.713055,0.0040313976,166779.56,-3189.343477,-0.0742288704,501342.2,8378.167082,0.2668304868,8341462.34,35404.104537,1.1202192761,28583889.21,718.6
0x2e2b6070bec9be9f50887cfe306ac6ca93002fab,,4306205.025013,171723.105521,0.0415343709,0.0,1815939.027159,0.7292148826,3001091.73,2019298.208805,0.6050339895,4973470.43,-4094133.674987,-0.3955326411,383046376.98,89.0
0x21a1faec036c45b3d3038cd2cebfbad4c9c3fb8d,,82438.573053,-17.357245,-0.0025311875,0.0,6046.20491,0.079146714,186117.39,6263.631215,0.0822269248,1326550.77,87859.033053,0.151476711,58155484.3,705.4
0xf117685385d50db17d5ee036d755b9ec8a136127,,53725.476589,-1252.770849,-0.0227452925,106074.59,3666.085812,0.0730887229,1072177.98,1091.044097,0.0206894062,2584124.08,-23379.973411,-0.2915888908,20111437.57,374.3
0x90d4e0ab580851410d3b2f6b55c19c37a2040e33,meta,299685.052287,984.553583,0.003296123,0.0,62303.436845,0.2624610871,554535.31,49472.979896,0.1865411992,1490255.28,994549.152287,85.4842532174,26135627.44,87.2
0x2215f02ae20d438aafa1b923b5e2979a67e4e36c,,50160.224268,-1945.773577,-0.0373426027,63899.99,7232.256523,0.1684742349,342856.97,20471.715332,0.4518792432,1969414.61,-28904.845732,-0.3052298516,13676907.38,272.7
0xda744273f80b22412417f7cfe0503f3d721f987d,,6116471.035951,24784.322286,0.0040685484,0.0,726184.75782,0.1347203502,4273216.57,505189.912166,0.0767365382,7419375.65,4182149.815951,0.4638159307,127474137.69,20.8
0xd00b847831d886330f8cdaaa7c2ab70329c0c262,,401275.238508,13388.771051,0.034517242,72460.43,25784.263137,0.0686681301,555543.0,21239.515463,0.0558882078,2384809.05,45862.208508,0.1290391872,20736142.97,51.7
